Departamento,SUPERFICIE-TOTAL (Mz.),PRODUCCIÓN-TOTAL (QQ),RENDIMIENTO-TOTAL (QQ/Mz.),Superficie-Solo (Mz.),Producción-Solo (QQ),Rendimiento-Solo (QQ/Mz.),Superficie-Asociado (Mz.),Producción-Asociado (QQ),Rendimiento-Asociado (QQ/Mz.),Origen,Anio,shape_leng,shape_area,geom,gid
AHUACHAPAN,32316,1553720,48.10,31380,1521930,48.50,936,31790,34.00,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.73887688890,0.0996484287620,,7
CABAÑAS,14182,640831,45.20,11647,526455,45.20,2535,114376,45.10,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.69367131489,0.0916979589649,,1
CHALATENANGO,24343,1282945,52.70,24106,1272774,52.80,237,10171,42.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.89591565841,0.1716091280600,,14
CUSCATLAN,13407,681639,50.80,13273,676919,51.00,134,4720,35.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.56346038499,0.0624972775971,,12
LA LIBERTAD,24360,1255840,51.60,23889,1237440,51.80,471,18400,39.00,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.73253976313,0.1371507720210,,9
LA PAZ,13106,634841,48.40,12977,630679,48.60,129,4162,32.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.59407327462,0.1015822638910,,13
LA UNION,24644,978396,39.70,24398,968448,39.70,246,9948,40.40,Anuario de Estadísticas Agropecuarias 2006-2007,2007,3.84953278187,0.1735720089940,,6
MORAZAN,17116,659236,38.50,15404,583827,37.90,1712,75409,44.10,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.99329709528,0.1213544507230,,5
SAN MIGUEL,27339,1215949,44.50,21871,960146,43.90,5468,255803,46.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,3.17662681237,0.1778538388970,,4
SAN SALVADOR,24773,1358152,54.80,24527,1349000,55.00,246,9152,37.20,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.04072707749,0.0756107517542,,11
SAN VICENTE,17742,822443,46.40,17405,809340,46.50,337,13103,38.90,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.06678080491,0.1002437237940,,2
SANTA ANA,35579,1581842,44.50,29616,1326797,44.80,5963,255045,42.80,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.71329645483,0.1703067731030,,10
SONSONATE,21823,1092628,50.10,20756,1041951,50.20,1067,50677,47.50,Anuario de Estadísticas Agropecuarias 2006-2007,2007,1.90139870267,0.1032384608160,,8
USULUTAN,53525,2567014,48.00,53001,2549336,48.10,524,17678,33.70,Anuario de Estadísticas Agropecuarias 2006-2007,2007,2.79367019574,0.1770834099940,,3
