gid,DEPARTAMENTO,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE Mz,SUPERFICIE COSECHADA PARA ELOTE Mz,PRODUCCIÓN PARA GRANO Y SEMILLA QQ,PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,geom
7,AHUACHAPAN,31063.29,28465.78,30147.58,101.83,44.96,1138716,3218,12757,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.738876888900,0.0996484287620,
1,CABAÑAS,16432.74,14730.20,15588.95,643.20,44.85,622425,17667,11550,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.693671314890,0.0916979589649,
14,CHALATENANGO,17313.63,14115.25,16503.39,608.44,91.16,663932,16333,24348,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.895915658410,0.1716091280600,
12,CUSCATLAN,16045.95,15087.85,15803.67,36.05,144.19,693949,1040,33043,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.563460384990,0.0624972775971,
9,LA LIBERTAD,32317.11,31160.41,29801.55,378.60,1496.74,1324535,10358,618292,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.732539763130,0.1371507720210,
13,LA PAZ,21710.46,19744.78,21209.88,265.27,94.87,1065784,7216,30322,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.594073274620,0.1015822638910,
6,LA UNION,36200.52,10754.78,35450.29,478.03,49.97,954492,10432,12936,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,3.849532781870,0.1735720089940,
5,MORAZAN,18759.74,7204.58,18263.29,283.09,38.17,430813,6243,10895,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.993297095280,0.1213544507230,
4,SAN MIGUEL,33685.68,19393.43,31966.18,742.24,647.62,923505,21950,187445,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,3.176626812370,0.1778538388970,
11,SAN SALVADOR,15660.87,14608.95,15403.67,72.45,95.13,727449,2442,23130,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.040727077490,0.0756107517542,
2,SAN VICENTE,22991.62,21463.43,22369.52,172.01,86.40,1057358,4973,22710,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.066780804910,0.1002437237940,
10,SANTA ANA,35248.62,32497.36,34593.25,330.64,46.79,1357502,14307,15523,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.713296454830,0.1703067731030,
8,SONSONATE,22319.42,20475.31,21364.22,207.31,111.47,861710,7459,21336,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.901398702670,0.1032384608160,
3,USULUTAN,42153.77,36412.94,40260.26,567.62,1195.79,1708337,16555,309269,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,2.793670195740,0.1770834099940,
